Longitude,Latitude,datetime,UHI Index,building_area_25,building_area_50,building_area_100
-73.90916667,40.81310667,24-07-2021 15:53,1.030288903,183.9785936158218,1597.3231201144415,11046.690248370778
-73.90918667,40.813045,24-07-2021 15:53,1.030288903,266.93064715365887,1729.4736141977155,10814.2268500625
-73.909215,40.81297833,24-07-2021 15:53,1.023797758,321.1222379398169,1951.4358041749895,10525.13656502234
-73.90924167,40.81290833,24-07-2021 15:53,1.023797758,343.873068354383,2287.0393512570354,10446.113597593285
-73.90925667,40.812845,24-07-2021 15:53,1.021634043,382.4027326535467,2652.7347406860126,10479.891453169581
-73.90928,40.81277667,24-07-2021 15:53,1.021634043,435.0723709071016,3026.235660605228,10515.268556148541
-73.90931167,40.81271,24-07-2021 15:53,1.015142899,491.9794793486757,3221.090629972206,10705.271648404274
-73.90934,40.81264333,24-07-2021 15:53,1.015142899,551.9090667943325,3197.7729581579392,10662.567573686469
-73.90936333,40.81256167,24-07-2021 15:53,1.012979184,563.8846908953732,3235.9520108945712,10368.956291042117
-73.90938333,40.812485,24-07-2021 15:53,1.012979184,562.7227835200935,3372.1820403504794,10426.196626589097
-73.90939333,40.81240333,24-07-2021 15:53,1.010815469,553.0732559088489,3563.549185100527,10807.900105610968
-73.90942,40.81233,24-07-2021 15:53,1.010815469,526.6546090532844,3511.8916462762827,11210.324338569768
-73.90945333,40.81223667,24-07-2021 15:53,1.010815469,589.657278258403,3337.962860544834,11452.481688264992
-73.90947667,40.81216333,24-07-2021 15:53,1.010815469,702.6340688035632,3158.1759719876045,11486.221507875238
-73.90949333,40.81209333,24-07-2021 15:53,1.010815469,799.8377495329742,3090.838768279442,11536.599098736602
-73.90952167,40.81203167,24-07-2021 15:53,1.010815469,829.7810779323809,3105.3018094386402,11492.169246421661
-73.90953,40.81198167,24-07-2021 15:53,1.010815469,764.1074842038241,3173.845444466133,11671.86952461583
-73.90954833,40.81194,24-07-2021 15:54,1.010815469,663.5681456082752,3297.114017553373,11691.975427987745
-73.90956333,40.8119,24-07-2021 15:54,1.010815469,552.9124344089844,3420.9733634311056,11707.2241141808
-73.90958167,40.81186333,24-07-2021 15:54,1.010815469,475.48232905911885,3497.480423829243,11576.589834881384
-73.9096,40.81181167,24-07-2021 15:54,1.012979184,412.5684098929412,3520.9844807383674,11398.280558747527
-73.909615,40.81175333,24-07-2021 15:54,1.012979184,423.36809347661836,3427.765728606437,11307.665225645964
-73.90963167,40.8117,24-07-2021 15:54,1.012979184,482.3503208170545,3260.427417788244,11278.950017872314
-73.90964667,40.81164333,24-07-2021 15:54,1.012979184,591.8531520802936,3144.0265779486244,11435.838885157365
-73.90966167,40.81157833,24-07-2021 15:54,1.012979184,743.0093525967086,3073.368380896508,11703.604002802382
-73.909675,40.81151,24-07-2021 15:54,1.012979184,795.2961200781156,3143.526026357015,11871.253654075017
-73.90969333,40.81144167,24-07-2021 15:54,1.012979184,757.9921111381357,3221.843872172878,11954.441241043174
-73.909705,40.81137667,24-07-2021 15:54,1.012979184,680.7632779530013,3418.2449854391775,11869.939203372167
-73.90971333,40.81132,24-07-2021 15:54,1.012979184,640.5463259454854,3624.21408953619,11641.584858569111
-73.909745,40.81123,24-07-2021 15:54,1.012979184,598.468332041665,3709.611914409997,11107.720716646265
-73.909755,40.81120333,24-07-2021 15:54,1.012979184,589.776848846175,3710.2969672105105,10939.689707918682
-73.90977,40.81116167,24-07-2021 15:54,1.015142899,578.6587552570888,3732.532663248604,10695.227248360019
-73.90978667,40.81111833,24-07-2021 15:54,1.015263105,569.2709551678736,3774.646498971736,10382.744770344649
-73.90980833,40.81106,24-07-2021 15:54,1.015263105,594.4906286334043,3787.6492088887508,10197.940219590559
-73.909875,40.810865,24-07-2021 15:54,1.019590535,711.3569132010987,3485.492038856394,10112.71898711734
-73.9099,40.81081,24-07-2021 15:54,1.019590535,675.4028953122331,3303.658299455171,9869.89276084219
-73.90992833,40.81075333,24-07-2021 15:54,1.02175425,574.2865542373331,3140.0422640014535,9559.312476111727
-73.909965,40.810705,24-07-2021 15:54,1.02175425,461.26617680513624,2912.3192266156925,9202.370459391748
-73.90995167,40.81062833,24-07-2021 15:54,1.023917965,342.3174796578627,2732.0139429965384,9314.915219558168
-73.90991333,40.8106,24-07-2021 15:54,1.02175425,367.5489517524227,2755.501244533688,9627.133024949311
-73.90974333,40.810515,24-07-2021 15:54,1.02175425,639.2022345708722,2970.866583960255,11254.125295087293
-73.90966667,40.810495,24-07-2021 15:54,1.019590535,651.5491694081551,2994.8714783425808,12018.248277523193
-73.90959167,40.81047333,24-07-2021 15:54,1.019590535,587.4092778880821,2924.474625576361,12606.740945395475
-73.90951833,40.810445,24-07-2021 15:54,1.019590535,492.6623623765128,2870.702239363704,13102.336717935797
-73.90944,40.81042333,24-07-2021 15:54,1.019590535,452.41206600396544,2858.1647627926227,13604.591412030493
-73.909385,40.8104,24-07-2021 15:54,1.019590535,382.7037545564383,2780.620775806477,13841.111816222321
-73.909345,40.81038,24-07-2021 15:54,1.019590535,322.3738718799199,2675.5635761670706,13887.860024154896
-73.90925333,40.81033333,24-07-2021 15:54,1.01742682,211.4101311979864,2443.968982292812,13673.967391230985
-73.90922333,40.81030667,24-07-2021 15:54,1.019590535,181.22589660503195,2379.6459164227817,13438.66233201263
-73.90917333,40.81029333,24-07-2021 15:55,1.019590535,158.47751358358883,2444.6890234772636,13454.041054980402
-73.90911833,40.81028,24-07-2021 15:55,1.019590535,158.13254148548427,2595.257137262512,13634.62684141152
-73.909055,40.81026167,24-07-2021 15:55,1.019590535,177.24562390046435,2844.759669688587,13959.082372959763
-73.90897833,40.81023833,24-07-2021 15:55,1.019590535,222.89553496333477,3175.3796345877886,14336.281792432226
-73.908895,40.81021833,24-07-2021 15:55,1.019590535,366.8328865243707,3450.6654670939647,14580.632578235372
-73.90871333,40.81017333,24-07-2021 15:55,1.02175425,627.1474262782499,3546.033194679115,14644.968524968592
-73.90862167,40.810155,24-07-2021 15:55,1.02175425,754.7189432019509,3555.9557524484258,14729.144264226954
-73.90853667,40.81013833,24-07-2021 15:55,1.02175425,779.5685937359491,3524.199583286778,14946.055967809081
-73.90847,40.81012667,24-07-2021 15:55,1.023917965,749.3666037081784,3520.4025997585723,15098.862844400388
-73.90843167,40.810125,24-07-2021 15:55,1.023917965,692.6548768351533,3562.4015794586153,15162.5152306304
-73.90818333,40.81009667,24-07-2021 15:55,1.015263105,518.1901957095788,3824.8314169485734,15119.993053567758
-73.9081,40.81007833,24-07-2021 15:55,1.015263105,630.3482670476158,3852.199224082109,15033.641517723332
-73.90800833,40.81006,24-07-2021 15:55,1.01309939,858.9851095483696,3955.859590984732,14963.996672691635
-73.90791833,40.81004,24-07-2021 15:55,1.01309939,999.8084380871669,4037.9618215142314,14829.659071196194
-73.90782333,40.810025,24-07-2021 15:55,1.01309939,1003.6207384698654,3977.5371061539067,14793.117717457953
-73.907525,40.80997833,24-07-2021 15:55,1.010935675,587.8630063368546,3482.7065127216447,15077.144275232768
-73.90740667,40.809905,24-07-2021 15:55,1.03269303,300.9853339062139,2782.8963873071502,14571.097083275745
-73.90739667,40.80987,24-07-2021 15:55,1.030529316,283.88338451654715,2786.0414255437477,14393.683492458727
-73.90739833,40.80982833,24-07-2021 15:55,1.030529316,329.6732497537884,2850.7750548850217,14113.82381278737
-73.90741167,40.80977667,24-07-2021 15:55,1.026201886,428.3709684397671,2967.088529548537,13728.905585729015
-73.907465,40.80964333,24-07-2021 15:55,1.026201886,677.0402247122736,3356.505597487231,13305.578281313024
-73.90749167,40.80957167,24-07-2021 15:55,1.026201886,705.0033235420055,3648.0639051845674,13390.331130303693
-73.90751833,40.80950167,24-07-2021 15:55,1.028365601,725.3348411232315,3800.3792313885924,13511.054135095721
