,Longitude,Latitude,datetime,UHI Index,building_area_25,building_area_50,building_area_100,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12
0,-73.90916667,40.81310667,24-07-2021 15:53,1.030288903,183.9785936158218,1597.3231201144415,11046.690248370778,841.5,1053.0,1155.0,1206.0,1481.5,1660.5,1721.0,1832.0,1709.0,1792.0,1495.5
1,-73.90918667,40.813045,24-07-2021 15:53,1.030288903,266.93064715365887,1729.4736141977155,10814.2268500625,841.5,1053.0,1155.0,1206.0,1481.5,1660.5,1721.0,1832.0,1709.0,1792.0,1495.5
2,-73.909215,40.81297833,24-07-2021 15:53,1.023797758,321.1222379398169,1951.4358041749897,10525.13656502234,841.5,646.0,823.0,777.0,1130.5,1883.0,2117.5,2241.0,2251.0,1548.0,1135.0
3,-73.90924167,40.81290833,24-07-2021 15:53,1.023797758,343.873068354383,2287.0393512570354,10446.113597593285,841.5,625.0,766.0,741.5,1130.5,1883.0,2117.5,2200.0,2251.0,1548.0,1135.0
4,-73.90925667,40.812845,24-07-2021 15:53,1.021634043,382.4027326535467,2652.7347406860126,10479.89145316958,841.5,659.5,763.0,708.5,1077.5,1783.0,2042.0,2161.0,2186.0,1617.5,1207.5
5,-73.90928,40.81277667,24-07-2021 15:53,1.021634043,435.0723709071016,3026.235660605228,10515.26855614854,841.5,659.5,763.0,708.5,1077.5,1783.0,2042.0,2161.0,2186.0,1617.5,1207.5
6,-73.90931167,40.81271,24-07-2021 15:53,1.015142899,491.9794793486757,3221.090629972206,10705.271648404274,841.5,551.5,768.5,659.0,1077.5,1783.0,2042.0,2472.0,2186.0,1617.5,1207.5
7,-73.90934,40.81264333,24-07-2021 15:53,1.015142899,551.9090667943325,3197.7729581579392,10662.567573686469,1177.0,656.0,807.0,814.0,1430.5,1970.0,2275.5,2524.0,2345.5,1901.5,1444.0
8,-73.90936333,40.81256167,24-07-2021 15:53,1.012979184,563.8846908953732,3235.9520108945712,10368.956291042115,1177.0,675.0,816.0,845.0,1430.5,1970.0,2275.5,2343.0,2345.5,1901.5,1444.0
9,-73.90938333,40.812485,24-07-2021 15:53,1.012979184,562.7227835200935,3372.1820403504794,10426.196626589095,1177.0,688.0,866.5,802.0,1425.5,1881.5,2001.0,2321.0,2088.5,1994.5,1579.5
10,-73.90939333,40.81240333,24-07-2021 15:53,1.010815469,553.0732559088489,3563.549185100527,10807.900105610968,1177.0,688.0,866.5,802.0,1425.5,1881.5,2001.0,2321.0,2088.5,1994.5,1579.5
11,-73.90942,40.81233,24-07-2021 15:53,1.010815469,526.6546090532844,3511.8916462762827,11210.324338569768,1177.0,741.5,892.5,845.0,1425.5,1881.5,2001.0,2169.0,2088.5,1994.5,1579.5
12,-73.90945333,40.81223667,24-07-2021 15:53,1.010815469,589.657278258403,3337.962860544834,11452.481688264992,1177.0,815.5,909.0,869.5,1802.0,1873.5,1960.0,1703.0,2029.5,2304.5,2024.0
13,-73.90947667,40.81216333,24-07-2021 15:53,1.010815469,702.6340688035632,3158.1759719876045,11486.221507875238,1177.0,964.0,1115.0,1124.0,1328.0,1615.5,1661.5,1965.0,1860.0,1909.5,1529.0
14,-73.90949333,40.81209333,24-07-2021 15:53,1.010815469,799.8377495329742,3090.838768279442,11536.599098736602,1354.0,1138.0,1364.0,1434.0,1900.0,1912.0,2057.5,1998.0,2077.5,2269.5,1721.5
15,-73.90952167,40.81203167,24-07-2021 15:53,1.010815469,829.7810779323809,3105.30180943864,11492.16924642166,1354.0,1249.0,1427.0,1537.0,1900.0,1912.0,2057.5,1953.0,2077.5,2269.5,1721.5
