,Longitude,Latitude,datetime,UHI Index,Area,airtemp,relative humidity,avg wind speed,wind direction,solar flux
0,-73.90975333,40.80359333,24-07-2021 15:01,0.998554418,Bronx,28.0,40.3,3.0,75,725
1,-73.91056667,40.803945,24-07-2021 15:01,1.009372992,Bronx,28.0,40.3,3.0,75,725
2,-73.910465,40.80390333,24-07-2021 15:01,1.007209277,Bronx,28.0,40.3,3.0,75,725
3,-73.91036667,40.80385833,24-07-2021 15:01,1.007209277,Bronx,28.0,40.3,3.0,75,725
4,-73.91026833,40.80381667,24-07-2021 15:01,1.000718133,Bronx,28.0,40.3,3.0,75,725
5,-73.91016667,40.803775,24-07-2021 15:01,1.000718133,Bronx,28.0,40.3,3.0,75,725
6,-73.910065,40.80373333,24-07-2021 15:01,0.998554418,Bronx,28.0,40.3,3.0,75,725
7,-73.90996167,40.80368833,24-07-2021 15:01,0.998554418,Bronx,28.0,40.3,3.0,75,725
8,-73.90986,40.80364167,24-07-2021 15:01,0.998554418,Bronx,28.0,40.3,3.0,75,725
9,-73.90812667,40.80266833,24-07-2021 15:01,0.989779352,Bronx,28.0,40.3,3.0,75,725
10,-73.90820333,40.80271333,24-07-2021 15:01,0.991943067,Bronx,28.0,40.3,3.0,75,725
11,-73.90829,40.80275833,24-07-2021 15:01,0.992063273,Bronx,28.0,40.3,3.0,75,725
12,-73.90837167,40.80281167,24-07-2021 15:01,0.996390703,Bronx,28.0,40.3,3.0,75,725
13,-73.90840167,40.80283,24-07-2021 15:01,0.996390703,Bronx,28.0,40.3,3.0,75,725
14,-73.909645,40.80354833,24-07-2021 15:01,0.998554418,Bronx,28.0,40.3,3.0,75,725
15,-73.90849167,40.80287333,24-07-2021 15:01,0.996390703,Bronx,28.0,40.3,3.0,75,725
16,-73.90955167,40.80349,24-07-2021 15:01,0.998554418,Bronx,28.0,40.3,3.0,75,725
17,-73.909455,40.80343333,24-07-2021 15:01,1.000718133,Bronx,28.0,40.3,3.0,75,725
18,-73.90936,40.80337667,24-07-2021 15:01,1.000718133,Bronx,28.0,40.3,3.0,75,725
19,-73.909265,40.80332167,24-07-2021 15:01,1.000718133,Bronx,28.0,40.3,3.0,75,725
20,-73.90917,40.80327167,24-07-2021 15:01,1.000718133,Bronx,28.0,40.3,3.0,75,725
21,-73.90907667,40.80322,24-07-2021 15:01,1.000718133,Bronx,28.0,40.3,3.0,75,725
22,-73.90844167,40.80285,24-07-2021 15:01,0.996390703,Bronx,28.0,40.3,3.0,75,725
23,-73.90890167,40.80312,24-07-2021 15:01,1.005045563,Bronx,28.0,40.3,3.0,75,725
24,-73.90881667,40.80307167,24-07-2021 15:01,1.005045563,Bronx,28.0,40.3,3.0,75,725
25,-73.90873667,40.803025,24-07-2021 15:01,1.005045563,Bronx,28.0,40.3,3.0,75,725
26,-73.90866833,40.80298,24-07-2021 15:01,1.005045563,Bronx,28.0,40.3,3.0,75,725
27,-73.908605,40.80294,24-07-2021 15:01,1.000718133,Bronx,28.0,40.3,3.0,75,725
28,-73.90898667,40.80317,24-07-2021 15:01,1.000718133,Bronx,28.0,40.3,3.0,75,725
29,-73.91200333,40.80455333,24-07-2021 15:02,1.035457777,Bronx,28.0,40.3,3.0,75,725
30,-73.912045,40.80456833,24-07-2021 15:02,1.033294062,Bronx,28.0,40.3,3.0,75,725
31,-73.91207333,40.80457167,24-07-2021 15:02,1.033294062,Bronx,28.0,40.3,3.0,75,725
32,-73.91214333,40.8046,24-07-2021 15:02,1.031130348,Bronx,28.0,40.3,3.0,75,725
33,-73.91219333,40.80461833,24-07-2021 15:02,1.031130348,Bronx,28.0,40.3,3.0,75,725
34,-73.912275,40.804645,24-07-2021 15:02,1.024639203,Bronx,28.0,40.3,3.0,75,725
35,-73.912545,40.804785,24-07-2021 15:02,1.031130348,Bronx,28.0,40.3,3.0,75,725
36,-73.91245333,40.804735,24-07-2021 15:02,1.031130348,Bronx,28.0,40.3,3.0,75,725
37,-73.91263,40.80482667,24-07-2021 15:02,1.033294062,Bronx,28.0,40.3,3.0,75,725
38,-73.91271833,40.804865,24-07-2021 15:02,1.033294062,Bronx,28.0,40.3,3.0,75,725
39,-73.91281,40.80490833,24-07-2021 15:02,1.035457777,Bronx,28.0,40.3,3.0,75,725
40,-73.91195833,40.80453333,24-07-2021 15:02,1.035457777,Bronx,28.0,40.3,3.0,75,725
41,-73.91236667,40.80469833,24-07-2021 15:02,1.024639203,Bronx,28.0,40.3,3.0,75,725
42,-73.91187667,40.80449833,24-07-2021 15:02,1.031130348,Bronx,28.0,40.3,3.0,75,725
43,-73.91191667,40.804515,24-07-2021 15:02,1.031130348,Bronx,28.0,40.3,3.0,75,725
44,-73.91112667,40.80421,24-07-2021 15:02,1.011536707,Bronx,28.0,40.3,3.0,75,725
45,-73.91183333,40.80448,24-07-2021 15:02,1.031130348,Bronx,28.0,40.3,3.0,75,725
46,-73.91077,40.80403333,24-07-2021 15:02,1.011536707,Bronx,28.0,40.3,3.0,75,725
47,-73.91087,40.80407667,24-07-2021 15:02,1.011536707,Bronx,28.0,40.3,3.0,75,725
48,-73.91104333,40.80416833,24-07-2021 15:02,1.011536707,Bronx,28.0,40.3,3.0,75,725
49,-73.91066667,40.80399,24-07-2021 15:02,1.009372992,Bronx,28.0,40.3,3.0,75,725
50,-73.91121,40.804245,24-07-2021 15:02,1.011536707,Bronx,28.0,40.3,3.0,75,725
51,-73.91128667,40.80427167,24-07-2021 15:02,1.011536707,Bronx,28.0,40.3,3.0,75,725
52,-73.911385,40.80431167,24-07-2021 15:02,1.013700422,Bronx,28.0,40.3,3.0,75,725
53,-73.91140667,40.80432167,24-07-2021 15:02,1.015864137,Bronx,28.0,40.3,3.0,75,725
54,-73.91156333,40.80437,24-07-2021 15:02,1.035457777,Bronx,28.0,40.3,3.0,75,725
55,-73.911605,40.804385,24-07-2021 15:02,1.035457777,Bronx,28.0,40.3,3.0,75,725
56,-73.91168667,40.80441833,24-07-2021 15:02,1.037621492,Bronx,28.0,40.3,3.0,75,725
57,-73.91172667,40.80443333,24-07-2021 15:02,1.035457777,Bronx,28.0,40.3,3.0,75,725
58,-73.911345,40.804295,24-07-2021 15:02,1.013700422,Bronx,28.0,40.3,3.0,75,725
59,-73.91464667,40.80530167,24-07-2021 15:03,1.026923124,Bronx,28.1,40.2,1.7,92,558
60,-73.91460167,40.80536667,24-07-2021 15:03,1.026923124,Bronx,28.1,40.2,1.7,92,558
61,-73.9145,40.80552333,24-07-2021 15:03,1.029086839,Bronx,28.1,40.2,1.7,92,558
62,-73.91452667,40.80547833,24-07-2021 15:03,1.029086839,Bronx,28.1,40.2,1.7,92,558
63,-73.91456333,40.80542667,24-07-2021 15:03,1.029086839,Bronx,28.1,40.2,1.7,92,558
64,-73.91469667,40.80523667,24-07-2021 15:03,1.026923124,Bronx,28.1,40.2,1.7,92,558
65,-73.91507667,40.804755,24-07-2021 15:03,1.013940835,Bronx,28.1,40.2,1.7,92,558
66,-73.91478167,40.80511833,24-07-2021 15:03,1.022595694,Bronx,28.1,40.2,1.7,92,558
67,-73.91480667,40.805075,24-07-2021 15:03,1.022595694,Bronx,28.1,40.2,1.7,92,558
68,-73.91489167,40.80498167,24-07-2021 15:03,1.020431979,Bronx,28.1,40.2,1.7,92,558
69,-73.914925,40.80494,24-07-2021 15:03,1.020431979,Bronx,28.1,40.2,1.7,92,558
70,-73.91497167,40.80488833,24-07-2021 15:03,1.018268265,Bronx,28.1,40.2,1.7,92,558
71,-73.91502333,40.804825,24-07-2021 15:03,1.018268265,Bronx,28.1,40.2,1.7,92,558
72,-73.91474167,40.80517333,24-07-2021 15:03,1.026923124,Bronx,28.1,40.2,1.7,92,558
73,-73.914445,40.80556,24-07-2021 15:03,1.031250554,Bronx,28.1,40.2,1.7,92,558
74,-73.91403,40.805445,24-07-2021 15:03,1.031130348,Bronx,28.1,40.2,1.7,92,558
75,-73.91437,40.80557833,24-07-2021 15:03,1.026923124,Bronx,28.1,40.2,1.7,92,558
76,-73.91442167,40.80556833,24-07-2021 15:03,1.026923124,Bronx,28.1,40.2,1.7,92,558
77,-73.91290833,40.80495333,24-07-2021 15:03,1.035457777,Bronx,28.1,40.2,1.7,92,558
78,-73.91312,40.805055,24-07-2021 15:03,1.035457777,Bronx,28.1,40.2,1.7,92,558
79,-73.91322667,40.80509833,24-07-2021 15:03,1.037621492,Bronx,28.1,40.2,1.7,92,558
80,-73.91332167,40.80514167,24-07-2021 15:03,1.037621492,Bronx,28.1,40.2,1.7,92,558
81,-73.91352167,40.80522667,24-07-2021 15:03,1.035457777,Bronx,28.1,40.2,1.7,92,558
82,-73.91301333,40.80500667,24-07-2021 15:03,1.035457777,Bronx,28.1,40.2,1.7,92,558
83,-73.913835,40.805365,24-07-2021 15:03,1.031130348,Bronx,28.1,40.2,1.7,92,558
84,-73.91393667,40.80540667,24-07-2021 15:03,1.031130348,Bronx,28.1,40.2,1.7,92,558
85,-73.91411167,40.80548,24-07-2021 15:03,1.028966633,Bronx,28.1,40.2,1.7,92,558
86,-73.914175,40.80550667,24-07-2021 15:03,1.028966633,Bronx,28.1,40.2,1.7,92,558
87,-73.913625,40.805275,24-07-2021 15:03,1.031130348,Bronx,28.1,40.2,1.7,92,558
88,-73.91421167,40.805525,24-07-2021 15:03,1.026802918,Bronx,28.1,40.2,1.7,92,558
89,-73.91423333,40.805535,24-07-2021 15:03,1.026802918,Bronx,28.1,40.2,1.7,92,558
90,-73.916525,40.80396833,24-07-2021 15:04,0.996631116,Bronx,28.1,40.2,1.7,92,558
